#    ib*ns    Average  E /mK    Average Ek /mK    Average Ep /mK   walkers
# --------  ------------ ---  ------------ ---  ------------ ---  --------
      2000   -89.4010789        736.581586       -825.982664          4988
      4000   -86.8499373        707.358765       -794.208703          4952
      6000   -87.3911178        680.584591       -767.975709          4968
      8000   -87.0448136        675.711240       -762.756053          4942
     10000   -84.1647084        658.128117       -742.292826          4966
     12000   -84.3480215        642.775356       -727.123377          4936
     14000   -85.1348462        651.402754       -736.537600          4959
     16000   -85.6323256        644.082463       -729.714789          4984
     18000   -85.0912010        646.033213       -731.124414          5005
     20000   -86.7431274        640.736414       -727.479542          4953
     22000   -84.6770537        627.975603       -712.652657          4933
     24000   -84.3318367        636.261411       -720.593248          4998
     26000   -83.8391903        627.426726       -711.265916          4960
     28000   -85.5472368        627.841771       -713.389008          4962
     30000   -85.8368172        635.786237       -721.623055          4948
     32000   -84.1657449        629.079571       -713.245316          4881
     34000   -84.1846397        624.987747       -709.172387          4843
     36000   -84.4026198        622.043436       -706.446056          4843
     38000   -85.8696174        641.540347       -727.409964          4896
     40000   -86.0399414        646.555269       -732.595211          4878
     42000   -86.3210044        641.156069       -727.477073          4844
     44000   -85.6952516        636.290131       -721.985383          4777
     46000   -83.4711337        635.600871       -719.072005          4827
     48000   -85.2304386        637.807046       -723.037485          4806
     50000   -85.6359452        626.324560       -711.960505          4795
     52000   -84.1053129        629.987187       -714.092499          4829
     54000   -84.1456827        627.788270       -711.933952          4869
     56000   -84.5904863        628.823064       -713.413551          4790
     58000   -84.0451748        643.809411       -727.854586          4817
     60000   -84.7529273        639.617716       -724.370643          4812
     62000   -84.2308079        653.070760       -737.301568          4785
     64000   -85.7550903        643.602266       -729.357357          4977
     66000   -84.7177456        630.610965       -715.328710          4961
     68000   -85.0306710        637.549363       -722.580034          4927
     70000   -85.0242441        637.615026       -722.639270          4916
     72000   -84.6604847        645.997658       -730.658143          4880
     74000   -84.1888645        634.442551       -718.631415          4905
     76000   -86.1573673        641.590348       -727.747716          4898
     78000   -86.0221743        639.153866       -725.176040          4890
     80000   -84.9369167        642.574428       -727.511344          4900
     82000   -84.1767456        624.135777       -708.312523          4900
     84000   -83.9549108        641.850037       -725.804947          4889
     86000   -83.4816553        642.451627       -725.933283          4893
     88000   -85.0499354        632.328702       -717.378637          4918
     90000   -86.7113592        635.360621       -722.071980          4845
     92000   -85.5451142        627.216625       -712.761739          4828
     94000   -83.5193665        620.690187       -704.209554          4806
     96000   -84.1642510        636.536627       -720.700878          4995
